period,ASE,CHIPMOS,KYEC,OSAT_COMPOSITE,PTI,TSMC
2020-12,50298189.0,2190543.0,2369350.0,100.0,6195206.0,117364912.0
2021-01,40847914.0,2163311.0,2559791.0,92.09445031750454,6093345.0,126749152.0
2021-02,36620343.0,1957424.0,2405002.0,85.12190731144369,5826828.0,106533690.0
2021-03,42001527.0,2344604.0,2666096.0,96.64544522483456,6509060.0,129127388.0
2021-04,41333449.0,2283389.0,2757602.0,97.14105985542278,6671415.0,111314794.0
2021-05,42267016.0,2338610.0,2861258.0,99.92384097355736,6886318.0,112359668.0
2021-06,43325882.0,2360243.0,1978466.0,96.39849357631238,7063121.0,148470660.0
2021-07,46479676.0,2417897.0,2957152.0,107.77229556431985,7520591.0,124557799.0
2021-08,50449730.0,2399295.0,3044565.0,111.86732988073226,7538243.0,137427162.0
2021-09,53735410.0,2343847.0,2995305.0,112.88885108825758,7261646.0,152685418.0
2021-10,52748353.0,2289435.0,3068793.0,113.7864584621505,7579431.0,134539477.0
2021-11,60522891.0,2236478.0,3194064.0,121.00341766060438,7523849.0,148267599.0
2021-12,59664942.0,2265502.0,3271294.0,119.83280250565068,7319725.0,155382230.0
2022-01,48573947.0,2272996.0,3089213.0,108.44379090022818,7243417.0,172176110.0
2022-02,43830549.0,2096899.0,2605989.0,96.6674843295336,6481084.0,146933238.0
2022-03,51986331.0,2355327.0,3288635.0,112.41527486931207,7106130.0,171966525.0
2022-04,48642595.0,2344156.0,3381747.0,111.05381039333199,7329899.0,172561382.0
2022-05,53798666.0,2396762.0,3314909.0,118.01573946367316,7841110.0,185705425.0
2022-06,57997759.0,2110819.0,3231605.0,121.22427077282877,8092334.0,175874001.0
2022-07,58167105.0,1947919.0,3196133.0,118.41073620630966,7683710.0,186762689.0
2022-08,63806883.0,1715097.0,2891833.0,117.58110861031469,7084719.0,218132391.0
2022-09,66651569.0,1590890.0,2932369.0,117.7313051299271,6661704.0,208247663.0
2022-10,64171459.0,1574012.0,3038915.0,115.85594453677925,6613525.0,210265633.0
2022-11,60106891.0,1558359.0,2877778.0,108.16725577068601,6008704.0,222705993.0
2022-12,53138889.0,1553828.0,2932870.0,101.12445049052954,5780399.0,192560242.0
2023-01,45131358.0,1330159.0,2564123.0,86.83410533367447,5000411.0,200050544.0
2023-02,39984571.0,1437306.0,2497803.0,83.36470742134043,5216116.0,163174097.0
2023-03,45775144.0,1837669.0,2702526.0,93.11581863951062,5523997.0,145408332.0
2023-04,43314938.0,1821728.0,2612206.0,90.69967122488211,5607556.0,147899735.0
2023-05,46238791.0,1834281.0,2755415.0,94.57014834237178,5671423.0,176537345.0
2023-06,46721623.0,1788115.0,2799687.0,96.38947923561909,5938619.0,156404174.0
2023-07,48353336.0,1836225.0,2855724.0,99.62854203521198,6185294.0,177616220.0
2023-08,52278801.0,1832982.0,2879079.0,103.68685603968325,6269639.0,188686256.0
2023-09,53534708.0,1912350.0,2858905.0,103.67833210102708,5994038.0,180430282.0
2023-10,56166613.0,1970006.0,2878307.0,106.86682844252503,6086492.0,243202811.0
2023-11,54509085.0,1873896.0,2844155.0,106.63045347282045,6468145.0,206026179.0
2023-12,49905503.0,1881511.0,2777377.0,102.18875611103816,6479215.0,176299866.0
2024-01,47390354.0,1708475.0,2807177.0,97.53498399737131,6111928.0,215785127.0
2024-02,39751076.0,1777053.0,2511124.0,88.01223509639311,5875401.0,181648270.0
2024-03,45661425.0,1933186.0,2896417.0,98.67600062137717,6341552.0,195210804.0
2024-04,45819887.0,1867563.0,2078786.0,94.2611678395389,6498874.0,236021112.0
2024-05,47492772.0,2024261.0,2217435.0,97.60099679809466,6557351.0,229620372.0
2024-06,46925404.0,1917735.0,2246985.0,96.66627235709993,6530255.0,207868693.0
2024-07,51595954.0,2063385.0,2344622.0,100.80911249086387,6269673.0,256953058.0
2024-08,52929761.0,2115776.0,2351067.0,102.55613361505536,6326365.0,250866368.0
2024-09,55579391.0,1888888.0,2343053.0,100.80002353651685,5706214.0,251872717.0
2024-10,56425583.0,1784936.0,2410546.0,101.96330015843091,5798085.0,314239713.0
2024-11,52933333.0,1834569.0,2440215.0,98.80311133981351,5709002.0,276058358.0
2024-12,52904645.0,1780082.0,2446149.0,97.9844705664123,5590342.0,278163107.0
