quarter,guide_low_usdm,guide_high_usdm,guided_on,reported_quarter,confidence,source_url,sentence,retrieved
2020Q3,1200.0,1300.0,2020-07-27,2020Q2,high,https://www.sec.gov/Archives/edgar/data/1047127/000104712720000034/amkr6302020erex-991.htm,"t, and we will continue to invest in markets, including 5G, high performance computing and IoT, where we see the highest potential for growth.” Third quarter 2020 outlook (unless otherwise noted): • Net sales of $1.2 billion to $1.3 billion • Gross margin of 15% to 18% • Net income of $42 million to",2026-07-27
2020Q4,1250.0,1350.0,2020-10-26,2020Q3,high,https://www.sec.gov/Archives/edgar/data/1047127/000104712720000053/amkr9302020erex-991.htm,wing demand and share gains in the communications end market is expected to drive year on year revenue growth of 10% in the fourth quarter.” Fourth quarter 2020 outlook (unless otherwise noted): • Net sales of $1.25 billion to $1.35 billion • Gross margin of 17% to 20% • Net income of $68 million to,2026-07-27
2021Q1,1270.0,1370.0,2021-02-08,2020Q4,high,https://www.sec.gov/Archives/edgar/data/1047127/000104712721000007/amkr123120erex-991.htm,"G deployment, high performance computing, IoT wearables and recovery in automotive are all expected to drive strong demand for our services.” First quarter 2021 outlook (unless otherwise noted): • Net sales of $1.27 billion to $1.37 billion • Gross margin of 17% to 20% • Net income of $70 million to",2026-07-27
2021Q2,1290.0,1390.0,2021-04-26,2021Q1,high,https://www.sec.gov/Archives/edgar/data/1047127/000104712721000013/amkr3312021erex-991.htm,key markets and remain confident that our strong position in Advanced packaging will enable us to outgrow the semiconductor market in 2021.” Second quarter 2021 outlook (unless otherwise noted): • Net sales of $1.29 billion to $1.39 billion • Gross margin of 17% to 20% • Net income of $77 million to,2026-07-27
2021Q3,1650.0,1750.0,2021-07-26,2021Q2,high,https://www.sec.gov/Archives/edgar/data/1047127/000104712721000022/amkr6302021erex-991.htm,are working closely with our customers and suppliers to help mitigate ongoing supply chain constraints affecting the semiconductor industry.” Third quarter 2021 outlook (unless otherwise noted): • Net sales of $1.65 billion to $1.75 billion • Gross margin of 18.5% to 20.5% • Net income of $150 milli,2026-07-27
2021Q4,1590.0,1690.0,2021-10-25,2021Q3,high,https://www.sec.gov/Archives/edgar/data/1047127/000104712721000038/amkr9302021erex-991.htm,"ident in our strong market position within the fastest growing semiconductor markets of 5G, Automotive, High Performance Computing and IoT.” Fourth quarter 2021 outlook (unless otherwise noted): • Net sales of $1.59 billion to $1.69 billion • Gross margin of 18.0% to 20.5% • Net income of $140 milli",2026-07-27
2022Q1,1500.0,1600.0,2022-02-14,2021Q4,high,https://www.sec.gov/Archives/edgar/data/1047127/000104712722000002/amkr123121erex-991.htm,"nd payment dates, are subject to the approval of the Board of Directors. Business Outlook The following information presents Amkor’s guidance for the first quarter 2022 (unless otherwise noted): • Net sales of $1.50 billion to $1.60 billion • Gross margin of 17.5% to 20.0% • Net income of $115 milli",2026-07-27
2022Q2,1470.0,1570.0,2022-05-02,2022Q1,high,https://www.sec.gov/Archives/edgar/data/1047127/000104712722000012/amkr3312022erex-991.htm,"ry will return to normal production during the second half of the quarter,” said Rutten. The following information presents Amkor’s guidance for the second quarter 2022 (unless otherwise noted): • Net sales of $1.47 billion to $1.57 billion • Gross margin of 16.5% to 18.5% • Net income of $90 millio",2026-07-27
2022Q3,1880.0,1980.0,2022-08-01,2022Q2,high,https://www.sec.gov/Archives/edgar/data/1047127/000104712722000022/amkr6302022erex-991.htm,"nd payment dates, are subject to the approval of the Board of Directors. Business Outlook The following information presents Amkor’s guidance for the third quarter 2022 (unless otherwise noted): • Net sales of $1.88 billion to $1.98 billion, a sequential increase of 25% to 32% and a year-on-year inc",2026-07-27
2022Q4,1800.0,1900.0,2022-10-31,2022Q3,high,https://www.sec.gov/Archives/edgar/data/1047127/000104712722000028/amkr9302022erex-991.htm,"d payment dates, are subject to the approval of the Board of Directors. Business Outlook The following information presents Amkor’s guidance for the fourth quarter 2022 (unless otherwise noted): • Net sales of $1.80 billion to $1.90 billion • Gross margin of 16.0% to 18.0% • Net income of $150 milli",2026-07-27
