period,series_id,value,unit,freq,source,retrieved
2020Q3,AMKR,1354.023,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2020Q4,AMKR,1371.041,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2021Q1,AMKR,1326.15,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2021Q2,AMKR,1406.535,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2021Q3,AMKR,1681.0,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2021Q4,AMKR,1724.644,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2022Q1,AMKR,1596.816,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2022Q2,AMKR,1504.868,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2022Q3,AMKR,2083.691,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2022Q4,AMKR,1906.21,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2023Q1,AMKR,1471.539,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2023Q2,AMKR,1457.922,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2023Q3,AMKR,1821.793,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2023Q4,AMKR,1751.811,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2024Q1,AMKR,1365.511,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2024Q2,AMKR,1461.474,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2024Q3,AMKR,1861.589,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2024Q4,AMKR,1629.118,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2025Q1,AMKR,1321.575,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2025Q2,AMKR,1511.392,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2025Q3,AMKR,1986.968,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2025Q4,AMKR,1888.046,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
2026Q1,AMKR,1684.701,USD_MILLIONS,Q,SEC:XBRL companyconcept,2026-07-26
