period,series_id,value,unit,freq,source,retrieved
2019Q3,AMKR_ADVANCED,588.975,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2020Q1,AMKR_ADVANCED,794.777,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2020Q2,AMKR_ADVANCED,834.474,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2020Q3,AMKR_ADVANCED,1002.97,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2020Q4,AMKR_ADVANCED,972.144,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2021Q1,AMKR_ADVANCED,920.655,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2021Q2,AMKR_ADVANCED,979.668,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2021Q3,AMKR_ADVANCED,1235.753,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2021Q4,AMKR_ADVANCED,1273.131,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2022Q1,AMKR_ADVANCED,1156.508,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2022Q2,AMKR_ADVANCED,1083.721,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2022Q3,AMKR_ADVANCED,1639.409,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2022Q4,AMKR_ADVANCED,1487.951,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2023Q1,AMKR_ADVANCED,1067.377,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2023Q2,AMKR_ADVANCED,1084.361,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2023Q3,AMKR_ADVANCED,1451.707,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2023Q4,AMKR_ADVANCED,1429.414,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2024Q1,AMKR_ADVANCED,1069.709,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2024Q2,AMKR_ADVANCED,1179.843,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2024Q3,AMKR_ADVANCED,1567.604,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2024Q4,AMKR_ADVANCED,1357.303,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2025Q1,AMKR_ADVANCED,1063.617,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2025Q2,AMKR_ADVANCED,1228.678,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2025Q3,AMKR_ADVANCED,1683.505,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2025Q4,AMKR_ADVANCED,1579.755,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
2026Q1,AMKR_ADVANCED,1372.001,USD_MILLIONS,Q,SEC:inline XBRL (dimensional),2026-07-27
