period,series_id,value,unit,freq,source,retrieved
2020-12,ASE,50298189.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2021-01,ASE,40847914.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2021-02,ASE,36620343.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2021-03,ASE,42001527.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2021-04,ASE,41333449.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2021-05,ASE,42267016.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2021-06,ASE,43325882.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2021-07,ASE,46479676.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2021-08,ASE,50449730.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2021-09,ASE,53735410.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2021-10,ASE,52748353.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2021-11,ASE,60522891.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2021-12,ASE,59664942.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2022-01,ASE,48573947.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2022-02,ASE,43830549.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2022-03,ASE,51986331.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2022-04,ASE,48642595.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2022-05,ASE,53798666.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2022-06,ASE,57997759.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2022-07,ASE,58167105.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2022-08,ASE,63806883.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2022-09,ASE,66651569.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2022-10,ASE,64171459.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2022-11,ASE,60106891.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2022-12,ASE,53138889.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2023-01,ASE,45131358.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
2023-02,ASE,39984571.0,TWD_THOUSANDS,M,FinMind:TaiwanStockMonthRevenue,2026-07-27
