quarter,guide_low_usdm,guide_mid_usdm,guide_high_usdm,actual_usdm,position_in_range,vs_mid_pct,above_mid,above_high,below_low
2020Q3,1200.0,1250.0,1300.0,1354.023,1.540229999999999,0.08321840000000003,True,True,False
2020Q4,1250.0,1300.0,1350.0,1371.041,1.2104099999999993,0.05464692307692309,True,True,False
2021Q1,1270.0,1320.0,1370.0,1326.15,0.5615000000000009,0.0046590909090908905,True,False,False
2021Q2,1290.0,1340.0,1390.0,1406.535,1.1653500000000008,0.04965298507462701,True,True,False
2021Q3,1650.0,1700.0,1750.0,1681.0,0.31,-0.011176470588235343,False,False,False
2021Q4,1590.0,1640.0,1690.0,1724.644,1.34644,0.051612195121951254,True,True,False
2022Q1,1500.0,1550.0,1600.0,1596.816,0.9681600000000004,0.030203870967741908,True,False,False
2022Q2,1470.0,1520.0,1570.0,1504.868,0.3486799999999994,-0.009955263157894745,False,False,False
2022Q3,1880.0,1930.0,1980.0,2083.691,2.036909999999998,0.0796326424870466,True,True,False
2022Q4,1800.0,1850.0,1900.0,1906.21,1.0621000000000003,0.030383783783783702,True,True,False
2023Q1,1400.0,1450.0,1500.0,1471.539,0.7153899999999999,0.01485448275862078,True,False,False
2023Q2,1425.0,1475.0,1525.0,1457.922,0.32922000000000023,-0.011578305084745777,False,False,False
2023Q3,1725.0,1775.0,1825.0,1821.793,0.967929999999999,0.026362253521126755,True,False,False
2023Q4,1625.0,1675.0,1725.0,1751.811,1.2681099999999992,0.04585731343283572,True,True,False
2024Q1,1300.0,1350.0,1400.0,1365.511,0.6551099999999996,0.011489629629629627,True,False,False
2024Q2,1400.0,1450.0,1500.0,1461.474,0.6147399999999993,0.007913103448275782,True,False,False
2024Q3,1785.0,1835.0,1885.0,1861.589,0.7658899999999994,0.014489918256130663,True,False,False
2024Q4,1600.0,1650.0,1700.0,1629.118,0.2911799999999994,-0.012655757575757653,False,False,False
2025Q1,1225.0,1275.0,1325.0,1321.575,0.9657500000000004,0.03652941176470592,True,False,False
2025Q2,1375.0,1425.0,1475.0,1511.392,1.3639200000000005,0.06062596491228067,True,True,False
2025Q3,1875.0,1925.0,1975.0,1986.968,1.1196800000000007,0.032191168831168904,True,True,False
2025Q4,1775.0,1825.0,1875.0,1888.046,1.1304600000000005,0.0345457534246576,True,True,False
2026Q1,1600.0,1650.0,1700.0,1684.701,0.8470100000000003,0.0210309090909091,True,False,False
